bundle_id,target_order,signal_key,attribute_key,target_label,question_text,allowed_answers,gate_on_stage1,gate_rule,tier
stage2_manchuria_s_bundle,1,low_level_trough,relative_position,low_level_trough.relative_position,이 영역과 가장 관련된 925hPa 하층 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown,low_level_trough,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,2,low_level_ridge,relative_position,low_level_ridge.relative_position,이 영역과 가장 관련된 925hPa 하층 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown,low_level_ridge,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,3,warm_advection,strength,warm_advection.strength,이 영역의 925hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown,warm_advection,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,4,cold_advection,strength,cold_advection.strength,이 영역의 925hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown,cold_advection,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,5,thermal_gradient_zone,strength,thermal_gradient_zone.strength,이 영역의 925hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown,thermal_gradient_zone,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,6,wet_area,coverage,wet_area.coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown,wet_area,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,7,wet_area,relative_position,wet_area.relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown,wet_area,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,8,strong_wind_zone,strength,strong_wind_zone.strength,이 영역의 925hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown,strong_wind_zone,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,9,freezing_line_candidate,relative_position,freezing_line_candidate.relative_position,이 영역과 가장 관련된 925hPa 0℃선 후보의 상대 위치는 무엇인가?,west|inside|east|unknown,freezing_line_candidate,full_if_yes_core_if_unknown_skip_if_no,core
stage2_manchuria_s_bundle,10,freezing_line_candidate,thermal_side,freezing_line_candidate.thermal_side,이 영역은 925hPa 0℃선 기준 어느 쪽 열적 구역에 해당하는가?,cold_side|transition_zone|warm_side|unknown,freezing_line_candidate,full_if_yes_extended_if_unknown_skip_if_no,extended
stage2_liao_bohai_bundle,1,low_level_trough,relative_position,low_level_trough.relative_position,이 영역과 가장 관련된 925hPa 하층 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown,low_level_trough,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,2,low_level_ridge,relative_position,low_level_ridge.relative_position,이 영역과 가장 관련된 925hPa 하층 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown,low_level_ridge,full_if_yes_core_if_unknown_skip_if_no,core
stage2_liao_bohai_bundle,3,warm_advection,strength,warm_advection.strength,이 영역의 925hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown,warm_advection,full_if_yes_core_if_unknown_skip_if_no,core
