stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage1,stage1_kp_nw_trough_axis_presence,kp_nw,한반도 북서,37~40N,124~127E,trough_axis,presence,이 영역 내부에 500hPa 기압골 축이 존재하는가?,yes|no|unknown
stage1,stage1_kp_nw_ridge_axis_presence,kp_nw,한반도 북서,37~40N,124~127E,ridge_axis,presence,이 영역 내부에 500hPa 기압능 축이 존재하는가?,yes|no|unknown
stage1,stage1_kp_nw_cold_core_presence,kp_nw,한반도 북서,37~40N,124~127E,cold_core,presence,이 영역 내부에 뚜렷한 500hPa 상층 한기 중심 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_nw_closed_cyclonic_circulation_presence,kp_nw,한반도 북서,37~40N,124~127E,closed_cyclonic_circulation,presence,이 영역 내부에 폐합 저기압성 순환 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_nw_tight_height_gradient_presence,kp_nw,한반도 북서,37~40N,124~127E,tight_height_gradient,presence,이 영역 내부에 등고선 조밀대가 존재하는가?,yes|no|unknown
stage1,stage1_kp_ne_trough_axis_presence,kp_ne,한반도 북동,37~40N,127~130E,trough_axis,presence,이 영역 내부에 500hPa 기압골 축이 존재하는가?,yes|no|unknown
stage1,stage1_kp_ne_ridge_axis_presence,kp_ne,한반도 북동,37~40N,127~130E,ridge_axis,presence,이 영역 내부에 500hPa 기압능 축이 존재하는가?,yes|no|unknown
stage1,stage1_kp_ne_cold_core_presence,kp_ne,한반도 북동,37~40N,127~130E,cold_core,presence,이 영역 내부에 뚜렷한 500hPa 상층 한기 중심 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_ne_closed_cyclonic_circulation_presence,kp_ne,한반도 북동,37~40N,127~130E,closed_cyclonic_circulation,presence,이 영역 내부에 폐합 저기압성 순환 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_ne_tight_height_gradient_presence,kp_ne,한반도 북동,37~40N,127~130E,tight_height_gradient,presence,이 영역 내부에 등고선 조밀대가 존재하는가?,yes|no|unknown
stage1,stage1_kp_sw_trough_axis_presence,kp_sw,한반도 남서,34~37N,124~127E,trough_axis,presence,이 영역 내부에 500hPa 기압골 축이 존재하는가?,yes|no|unknown
stage1,stage1_kp_sw_ridge_axis_presence,kp_sw,한반도 남서,34~37N,124~127E,ridge_axis,presence,이 영역 내부에 500hPa 기압능 축이 존재하는가?,yes|no|unknown
stage1,stage1_kp_sw_cold_core_presence,kp_sw,한반도 남서,34~37N,124~127E,cold_core,presence,이 영역 내부에 뚜렷한 500hPa 상층 한기 중심 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_sw_closed_cyclonic_circulation_presence,kp_sw,한반도 남서,34~37N,124~127E,closed_cyclonic_circulation,presence,이 영역 내부에 폐합 저기압성 순환 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_sw_tight_height_gradient_presence,kp_sw,한반도 남서,34~37N,124~127E,tight_height_gradient,presence,이 영역 내부에 등고선 조밀대가 존재하는가?,yes|no|unknown
stage1,stage1_kp_se_trough_axis_presence,kp_se,한반도 남동,34~37N,127~130E,trough_axis,presence,이 영역 내부에 500hPa 기압골 축이 존재하는가?,yes|no|unknown
stage1,stage1_kp_se_ridge_axis_presence,kp_se,한반도 남동,34~37N,127~130E,ridge_axis,presence,이 영역 내부에 500hPa 기압능 축이 존재하는가?,yes|no|unknown
stage1,stage1_kp_se_cold_core_presence,kp_se,한반도 남동,34~37N,127~130E,cold_core,presence,이 영역 내부에 뚜렷한 500hPa 상층 한기 중심 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_se_closed_cyclonic_circulation_presence,kp_se,한반도 남동,34~37N,127~130E,closed_cyclonic_circulation,presence,이 영역 내부에 폐합 저기압성 순환 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_se_tight_height_gradient_presence,kp_se,한반도 남동,34~37N,127~130E,tight_height_gradient,presence,이 영역 내부에 등고선 조밀대가 존재하는가?,yes|no|unknown
stage1,stage1_ws_n_trough_axis_presence,ws_n,서해 북부,37~40N,122~124E,trough_axis,presence,이 영역 내부에 500hPa 기압골 축이 존재하는가?,yes|no|unknown
stage1,stage1_ws_n_ridge_axis_presence,ws_n,서해 북부,37~40N,122~124E,ridge_axis,presence,이 영역 내부에 500hPa 기압능 축이 존재하는가?,yes|no|unknown
stage1,stage1_ws_n_cold_core_presence,ws_n,서해 북부,37~40N,122~124E,cold_core,presence,이 영역 내부에 뚜렷한 500hPa 상층 한기 중심 후보가 존재하는가?,yes|no|unknown
stage1,stage1_ws_n_closed_cyclonic_circulation_presence,ws_n,서해 북부,37~40N,122~124E,closed_cyclonic_circulation,presence,이 영역 내부에 폐합 저기압성 순환 후보가 존재하는가?,yes|no|unknown
stage1,stage1_ws_n_tight_height_gradient_presence,ws_n,서해 북부,37~40N,122~124E,tight_height_gradient,presence,이 영역 내부에 등고선 조밀대가 존재하는가?,yes|no|unknown
