stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage2,stage2_manchuria_s_trough_axis_relative_position,manchuria_s,만주 남부,41~47N,120~130E,trough_axis,relative_position,이 영역과 가장 관련된 850hPa 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_ridge_axis_relative_position,manchuria_s,만주 남부,41~47N,120~130E,ridge_axis,relative_position,이 영역과 가장 관련된 850hPa 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_warm_advection_strength,manchuria_s,만주 남부,41~47N,120~130E,warm_advection,strength,이 영역의 850hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_cold_advection_strength,manchuria_s,만주 남부,41~47N,120~130E,cold_advection,strength,이 영역의 850hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_thermal_gradient_zone_strength,manchuria_s,만주 남부,41~47N,120~130E,thermal_gradient_zone,strength,이 영역의 850hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_wet_area_coverage,manchuria_s,만주 남부,41~47N,120~130E,wet_area,coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_manchuria_s_wet_area_relative_position,manchuria_s,만주 남부,41~47N,120~130E,wet_area,relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_manchuria_s_low_level_jet_strength,manchuria_s,만주 남부,41~47N,120~130E,low_level_jet,strength,이 영역의 850hPa 하층 제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_low_level_jet_orientation,manchuria_s,만주 남부,41~47N,120~130E,low_level_jet,orientation,이 영역과 가장 관련된 하층 제트 축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_manchuria_s_strong_wind_zone_strength,manchuria_s,만주 남부,41~47N,120~130E,strong_wind_zone,strength,이 영역의 850hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_moisture_transport_axis_orientation,manchuria_s,만주 남부,41~47N,120~130E,moisture_transport_axis,orientation,이 영역과 가장 관련된 수증기 수송축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_manchuria_s_moisture_transport_axis_strength,manchuria_s,만주 남부,41~47N,120~130E,moisture_transport_axis,strength,이 영역의 수증기 수송 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_manchuria_s_low_level_convergence_candidate_strength,manchuria_s,만주 남부,41~47N,120~130E,low_level_convergence_candidate,strength,이 영역의 하층 수렴 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_trough_axis_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,trough_axis,relative_position,이 영역과 가장 관련된 850hPa 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_ridge_axis_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,ridge_axis,relative_position,이 영역과 가장 관련된 850hPa 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_warm_advection_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,warm_advection,strength,이 영역의 850hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_cold_advection_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,cold_advection,strength,이 영역의 850hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_thermal_gradient_zone_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,thermal_gradient_zone,strength,이 영역의 850hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_wet_area_coverage,liao_bohai,요동반도/발해만,38~41N,120~123E,wet_area,coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_liao_bohai_wet_area_relative_position,liao_bohai,요동반도/발해만,38~41N,120~123E,wet_area,relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_liao_bohai_low_level_jet_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,low_level_jet,strength,이 영역의 850hPa 하층 제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_low_level_jet_orientation,liao_bohai,요동반도/발해만,38~41N,120~123E,low_level_jet,orientation,이 영역과 가장 관련된 하층 제트 축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_liao_bohai_strong_wind_zone_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,strong_wind_zone,strength,이 영역의 850hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_moisture_transport_axis_orientation,liao_bohai,요동반도/발해만,38~41N,120~123E,moisture_transport_axis,orientation,이 영역과 가장 관련된 수증기 수송축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_liao_bohai_moisture_transport_axis_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,moisture_transport_axis,strength,이 영역의 수증기 수송 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_liao_bohai_low_level_convergence_candidate_strength,liao_bohai,요동반도/발해만,38~41N,120~123E,low_level_convergence_candidate,strength,이 영역의 하층 수렴 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_trough_axis_relative_position,ws_mid,서해 중부,35~38N,122~126E,trough_axis,relative_position,이 영역과 가장 관련된 850hPa 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_ridge_axis_relative_position,ws_mid,서해 중부,35~38N,122~126E,ridge_axis,relative_position,이 영역과 가장 관련된 850hPa 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_warm_advection_strength,ws_mid,서해 중부,35~38N,122~126E,warm_advection,strength,이 영역의 850hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_cold_advection_strength,ws_mid,서해 중부,35~38N,122~126E,cold_advection,strength,이 영역의 850hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_thermal_gradient_zone_strength,ws_mid,서해 중부,35~38N,122~126E,thermal_gradient_zone,strength,이 영역의 850hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_wet_area_coverage,ws_mid,서해 중부,35~38N,122~126E,wet_area,coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_ws_mid_wet_area_relative_position,ws_mid,서해 중부,35~38N,122~126E,wet_area,relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ws_mid_low_level_jet_strength,ws_mid,서해 중부,35~38N,122~126E,low_level_jet,strength,이 영역의 850hPa 하층 제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_low_level_jet_orientation,ws_mid,서해 중부,35~38N,122~126E,low_level_jet,orientation,이 영역과 가장 관련된 하층 제트 축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_ws_mid_strong_wind_zone_strength,ws_mid,서해 중부,35~38N,122~126E,strong_wind_zone,strength,이 영역의 850hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_moisture_transport_axis_orientation,ws_mid,서해 중부,35~38N,122~126E,moisture_transport_axis,orientation,이 영역과 가장 관련된 수증기 수송축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_ws_mid_moisture_transport_axis_strength,ws_mid,서해 중부,35~38N,122~126E,moisture_transport_axis,strength,이 영역의 수증기 수송 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ws_mid_low_level_convergence_candidate_strength,ws_mid,서해 중부,35~38N,122~126E,low_level_convergence_candidate,strength,이 영역의 하층 수렴 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_trough_axis_relative_position,kp_north,한반도 북부,37~40N,124~130E,trough_axis,relative_position,이 영역과 가장 관련된 850hPa 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_ridge_axis_relative_position,kp_north,한반도 북부,37~40N,124~130E,ridge_axis,relative_position,이 영역과 가장 관련된 850hPa 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_north_warm_advection_strength,kp_north,한반도 북부,37~40N,124~130E,warm_advection,strength,이 영역의 850hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_cold_advection_strength,kp_north,한반도 북부,37~40N,124~130E,cold_advection,strength,이 영역의 850hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_thermal_gradient_zone_strength,kp_north,한반도 북부,37~40N,124~130E,thermal_gradient_zone,strength,이 영역의 850hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_wet_area_coverage,kp_north,한반도 북부,37~40N,124~130E,wet_area,coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_kp_north_wet_area_relative_position,kp_north,한반도 북부,37~40N,124~130E,wet_area,relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown
