stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage1,stage1_manchuria_s_trough_axis_presence,manchuria_s,만주 남부,41~47N,120~130E,trough_axis,presence,이 영역 내부에 850hPa 기압골이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_ridge_axis_presence,manchuria_s,만주 남부,41~47N,120~130E,ridge_axis,presence,이 영역 내부에 850hPa 기압능이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_warm_advection_presence,manchuria_s,만주 남부,41~47N,120~130E,warm_advection,presence,이 영역 내부에 850hPa 난기 이류가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_cold_advection_presence,manchuria_s,만주 남부,41~47N,120~130E,cold_advection,presence,이 영역 내부에 850hPa 한기 이류가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_thermal_gradient_zone_presence,manchuria_s,만주 남부,41~47N,120~130E,thermal_gradient_zone,presence,이 영역 내부에 850hPa 강한 온도경도대 또는 전선대 후보가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_wet_area_presence,manchuria_s,만주 남부,41~47N,120~130E,wet_area,presence,이 영역 내부에 WET AREA(T-Td<3℃)가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_low_level_jet_presence,manchuria_s,만주 남부,41~47N,120~130E,low_level_jet,presence,이 영역 내부에 850hPa 하층 제트 후보가 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_strong_wind_zone_presence,manchuria_s,만주 남부,41~47N,120~130E,strong_wind_zone,presence,이 영역 내부에 850hPa 강풍역이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_moisture_transport_axis_presence,manchuria_s,만주 남부,41~47N,120~130E,moisture_transport_axis,presence,이 영역 내부에 850hPa 수증기 수송축이 존재하는가?,yes|no|unknown
stage1,stage1_manchuria_s_low_level_convergence_candidate_presence,manchuria_s,만주 남부,41~47N,120~130E,low_level_convergence_candidate,presence,이 영역 내부에 하층 수렴 후보가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_trough_axis_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,trough_axis,presence,이 영역 내부에 850hPa 기압골이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_ridge_axis_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,ridge_axis,presence,이 영역 내부에 850hPa 기압능이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_warm_advection_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,warm_advection,presence,이 영역 내부에 850hPa 난기 이류가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_cold_advection_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,cold_advection,presence,이 영역 내부에 850hPa 한기 이류가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_thermal_gradient_zone_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,thermal_gradient_zone,presence,이 영역 내부에 850hPa 강한 온도경도대 또는 전선대 후보가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_wet_area_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,wet_area,presence,이 영역 내부에 WET AREA(T-Td<3℃)가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_low_level_jet_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,low_level_jet,presence,이 영역 내부에 850hPa 하층 제트 후보가 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_strong_wind_zone_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,strong_wind_zone,presence,이 영역 내부에 850hPa 강풍역이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_moisture_transport_axis_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,moisture_transport_axis,presence,이 영역 내부에 850hPa 수증기 수송축이 존재하는가?,yes|no|unknown
stage1,stage1_liao_bohai_low_level_convergence_candidate_presence,liao_bohai,요동반도/발해만,38~41N,120~123E,low_level_convergence_candidate,presence,이 영역 내부에 하층 수렴 후보가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_trough_axis_presence,ws_mid,서해 중부,35~38N,122~126E,trough_axis,presence,이 영역 내부에 850hPa 기압골이 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_ridge_axis_presence,ws_mid,서해 중부,35~38N,122~126E,ridge_axis,presence,이 영역 내부에 850hPa 기압능이 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_warm_advection_presence,ws_mid,서해 중부,35~38N,122~126E,warm_advection,presence,이 영역 내부에 850hPa 난기 이류가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_cold_advection_presence,ws_mid,서해 중부,35~38N,122~126E,cold_advection,presence,이 영역 내부에 850hPa 한기 이류가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_thermal_gradient_zone_presence,ws_mid,서해 중부,35~38N,122~126E,thermal_gradient_zone,presence,이 영역 내부에 850hPa 강한 온도경도대 또는 전선대 후보가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_wet_area_presence,ws_mid,서해 중부,35~38N,122~126E,wet_area,presence,이 영역 내부에 WET AREA(T-Td<3℃)가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_low_level_jet_presence,ws_mid,서해 중부,35~38N,122~126E,low_level_jet,presence,이 영역 내부에 850hPa 하층 제트 후보가 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_strong_wind_zone_presence,ws_mid,서해 중부,35~38N,122~126E,strong_wind_zone,presence,이 영역 내부에 850hPa 강풍역이 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_moisture_transport_axis_presence,ws_mid,서해 중부,35~38N,122~126E,moisture_transport_axis,presence,이 영역 내부에 850hPa 수증기 수송축이 존재하는가?,yes|no|unknown
stage1,stage1_ws_mid_low_level_convergence_candidate_presence,ws_mid,서해 중부,35~38N,122~126E,low_level_convergence_candidate,presence,이 영역 내부에 하층 수렴 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_trough_axis_presence,kp_north,한반도 북부,37~40N,124~130E,trough_axis,presence,이 영역 내부에 850hPa 기압골이 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_ridge_axis_presence,kp_north,한반도 북부,37~40N,124~130E,ridge_axis,presence,이 영역 내부에 850hPa 기압능이 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_warm_advection_presence,kp_north,한반도 북부,37~40N,124~130E,warm_advection,presence,이 영역 내부에 850hPa 난기 이류가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_cold_advection_presence,kp_north,한반도 북부,37~40N,124~130E,cold_advection,presence,이 영역 내부에 850hPa 한기 이류가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_thermal_gradient_zone_presence,kp_north,한반도 북부,37~40N,124~130E,thermal_gradient_zone,presence,이 영역 내부에 850hPa 강한 온도경도대 또는 전선대 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_wet_area_presence,kp_north,한반도 북부,37~40N,124~130E,wet_area,presence,이 영역 내부에 WET AREA(T-Td<3℃)가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_low_level_jet_presence,kp_north,한반도 북부,37~40N,124~130E,low_level_jet,presence,이 영역 내부에 850hPa 하층 제트 후보가 존재하는가?,yes|no|unknown
stage1,stage1_kp_north_strong_wind_zone_presence,kp_north,한반도 북부,37~40N,124~130E,strong_wind_zone,presence,이 영역 내부에 850hPa 강풍역이 존재하는가?,yes|no|unknown
